race year,age group,gender,city,latitude,longitude,counts,,,,,,,,,
2002,20-30,female,Lausanne,46.5196535,6.6322734,56,,,,,,,,,
2002,20-30,female,ZÃ_rich,47.3768866,8.541694,11,,,,,,,,,
2002,20-30,female,Geneva,46.2043907,6.1431577,9,,,,,,,,,
2002,20-30,female,Ã‰palinges,46.5488573,6.674199,6,,,,,,,,,
2002,20-30,female,Renens,46.53381,6.59137,5,,,,,,,,,
2002,20-30,female,Prilly,46.5346449,6.6052401,5,,,,,,,,,
2002,20-30,female,Bern,46.9479739,7.4474468,4,,,,,,,,,
2002,20-30,female,Yverdon-les-Bains,46.7784736,6.641183,4,,,,,,,,,
2002,20-30,female,Ecublens,46.5296363,6.5615252,3,,,,,,,,,
2002,20-30,female,Crissier,46.5518687,6.5743458,3,,,,,,,,,
2002,20-30,female,Jongny,46.4826453,6.8470796,3,,,,,,,,,g
2002,20-30,female,La Chaux-de-Fonds,47.1034892,6.8327838,3,,,,,,,,,
2002,20-30,female,Monthey,46.2521873,6.9469598,3,,,,,,,,,
2002,20-30,female,Ollon,46.30084,7.0428401,2,,,,,,,,,
2002,20-30,female,Lotzwil,47.1896436,7.7916592,2,,,,,,,,,
2002,20-30,female,Saint-Sulpice,46.510114,6.5581951,2,,,,,,,,,
2002,20-30,female,Saint-Prex,46.4829113,6.4583435,2,,,,,,,,,
2002,20-30,female,Seltisberg,47.4597027,7.7174137,2,,,,,,,,,
2002,20-30,female,Saint-LÃ©gier-La ChiÃ©saz,46.4717185,6.8767709,2,,,,,,,,,
2002,20-30,female,Leytron,46.1866297,7.2087015,2,,,,,,,,,
2002,20-30,female,Jouxtens-MÃ©zery,46.55043,6.59874,2,,,,,,,,,
2002,20-30,female,Troistorrents,46.2312995,6.9194416,2,,,,,,,,,
2002,20-30,female,Fribourg,46.8064773,7.1619719,2,,,,,,,,,
2002,20-30,female,Rolle,46.4612971,6.3397549,2,,,,,,,,,
2002,20-30,female,La Tour-de-Peilz,46.4533165,6.8612781,2,,,,,,,,,
2002,20-30,female,Vevey,46.4628333,6.8419192,2,,,,,,,,,
2002,20-30,female,Nyon,46.3832683,6.2347852,2,,,,,,,,,
2002,20-30,female,Le Mont-sur-Lausanne,46.5533123,6.6339915,2,,,,,,,,,
2002,20-30,female,Oberiberg,47.0398727,8.7820284,2,,,,,,,,,
2002,20-30,female,Bex,46.25735,7.09471,2,,,,,,,,,
2002,20-30,female,Romont,46.691887,6.9118086,2,,,,,,,,,
2002,20-30,female,Lancy,46.1923106,6.1155847,2,,,,,,,,,
2002,20-30,female,Baulmes,46.7895163,6.521739,2,,,,,,,,,
2002,20-30,female,Morges,46.5088127,6.4961301,1,,,,,,,,,
2002,20-30,female,Puteaux,48.884748,2.23964,1,,,,,,,,,
2002,20-30,female,Pully,46.5092681,6.6654949,1,,,,,,,,,
2002,20-30,female,Morlon,46.6249096,7.0849233,1,,,,,,,,,
2002,20-30,female,Renaison,46.051139,3.923753,1,,,,,,,,,
2002,20-30,female,PrÃ©verenges,46.5175835,6.5252682,1,,,,,,,,,
2002,20-30,female,Montreux,46.432164,6.9255565,1,,,,,,,,,
2002,20-30,female,Richmond,37.5438786,-77.4414678,1,,,,,,,,,
2002,20-30,female,MÃ©riel,49.077124,2.205492,1,,,,,,,,,
2002,20-30,female,Portland,45.565921,-122.6066627,1,,,,,,,,,
2002,20-30,female,Pont-de-Roide,47.382141,6.773454,1,,,,,,,,,
2002,20-30,female,Plaffeien,46.7365103,7.2923293,1,,,,,,,,,
2002,20-30,female,Peseux,46.9879037,6.8917897,1,,,,,,,,,
2002,20-30,female,Moudon,46.6698891,6.7975224,1,,,,,,,,,
2002,20-30,female,Payerne,46.8220266,6.9405663,1,,,,,,,,,
2002,20-30,female,Orbe,46.7293301,6.5323588,1,,,,,,,,,
2002,20-30,female,Olten,47.3499624,7.9037034,1,,,,,,,,,
2002,20-30,female,Ollon,46.2984285,7.0550134,1,,,,,,,,,
2002,20-30,female,Oetwil am See,47.2729371,8.7205118,1,,,,,,,,,
2002,20-30,female,Muri bei Bern,46.9350521,7.4984728,1,,,,,,,,,
2002,20-30,female,Narrogin,-32.9365232,117.1719722,1,,,,,,,,,
2002,20-30,female,Penthalaz,46.6097989,6.5254402,1,,,,,,,,,
2002,20-30,female,A,48.3705449,10.89779,1,,,,,,,,,
2002,20-30,female,Romanel-sur-Lausanne,46.5630648,6.603945,1,,,,,,,,,
2002,20-30,female,Valeyres-sous-Rances,46.7533504,6.5257891,1,,,,,,,,,
2002,20-30,female,Vauffelin,47.169073,7.2568416,1,,,,,,,,,
2002,20-30,female,Vex,46.2113569,7.3982929,1,,,,,,,,,
2002,20-30,female,Vienna,48.1941134,16.3953555,1,,,,,,,,,
2002,20-30,female,Vire,48.837781,-0.888482,1,,,,,,,,,
2002,20-30,female,Viriat,46.253209,5.216721,1,,,,,,,,,
2002,20-30,female,Vucherens,46.6248916,6.7799016,1,,,,,,,,,
2002,20-30,female,Wangen bei Olten,47.3424627,7.8661678,1,,,,,,,,,
2002,20-30,female,Werthenstein,47.0360071,8.1448783,1,,,,,,,,,
2002,20-30,female,Wil,47.4635617,9.0479097,1,,,,,,,,,
2002,20-30,female,Wimmis,46.6761167,7.6386272,1,,,,,,,,,
2002,20-30,female,WÃœ,49.7913044,9.9533548,1,,,,,,,,,
2002,20-30,female,WÃ_denswil,47.2296871,8.6718189,1,,,,,,,,,
2002,20-30,female,Yvonand,46.7994765,6.7455463,1,,,,,,,,,
2002,20-30,female,Zollikon,47.3412096,8.5772146,1,,,,,,,,,
